00:45:19 | INFO     | __main__ | ============================================================
21:06:24 | INFO     | vector_store |   Upserted batch 0–499 / 19997
21:06:28 | INFO     | vector_store |   Upserted batch 500–999 / 19997
21:06:29 | INFO     | vector_store |   Upserted batch 1000–1499 / 19997
21:06:30 | INFO     | vector_store |   Upserted batch 1500–1999 / 19997
21:06:31 | INFO     | vector_store |   Upserted batch 2000–2499 / 19997
21:06:32 | INFO     | vector_store |   Upserted batch 2500–2999 / 19997
21:06:33 | INFO     | vector_store |   Upserted batch 3000–3499 / 19997
21:06:35 | INFO     | vector_store |   Upserted batch 3500–3999 / 19997
21:06:36 | INFO     | vector_store |   Upserted batch 4000–4499 / 19997
21:06:36 | INFO     | vector_store |   Upserted batch 4500–4999 / 19997
21:06:37 | INFO     | vector_store |   Upserted batch 5000–5499 / 19997
21:06:38 | INFO     | vector_store |   Upserted batch 5500–5999 / 19997
21:06:38 | INFO     | vector_store |   Upserted batch 6000–6499 / 19997
21:06:39 | INFO     | vector_store |   Upserted batch 6500–6999 / 19997
21:06:40 | INFO     | vector_store |   Upserted batch 7000–7499 / 19997
21:06:41 | INFO     | vector_store |   Upserted batch 7500–7999 / 19997
21:06:42 | INFO     | vector_store |   Upserted batch 8000–8499 / 19997
21:06:42 | INFO     | vector_store |   Upserted batch 8500–8999 / 19997
21:06:43 | INFO     | vector_store |   Upserted batch 9000–9499 / 19997
21:06:43 | INFO     | vector_store |   Upserted batch 9500–9999 / 19997
21:06:44 | INFO     | vector_store |   Upserted batch 10000–10499 / 19997
21:06:45 | INFO     | vector_store |   Upserted batch 10500–10999 / 19997
21:06:46 | INFO     | vector_store |   Upserted batch 11000–11499 / 19997
21:06:46 | INFO     | vector_store |   Upserted batch 11500–11999 / 19997
21:06:47 | INFO     | vector_store |   Upserted batch 12000–12499 / 19997
21:06:48 | INFO     | vector_store |   Upserted batch 12500–12999 / 19997
21:06:49 | INFO     | vector_store |   Upserted batch 13000–13499 / 19997
21:06:50 | INFO     | vector_store |   Upserted batch 13500–13999 / 19997
21:06:52 | INFO     | vector_store |   Upserted batch 14000–14499 / 19997
21:06:53 | INFO     | vector_store |   Upserted batch 14500–14999 / 19997
21:06:54 | INFO     | vector_store |   Upserted batch 15000–15499 / 19997
21:06:55 | INFO     | vector_store |   Upserted batch 15500–15999 / 19997
21:06:56 | INFO     | vector_store |   Upserted batch 16000–16499 / 19997
21:06:57 | INFO     | vector_store |   Upserted batch 16500–16999 / 19997
21:06:58 | INFO     | vector_store |   Upserted batch 17000–17499 / 19997
21:06:59 | INFO     | vector_store |   Upserted batch 17500–17999 / 19997
21:06:59 | INFO     | vector_store |   Upserted batch 18000–18499 / 19997
21:07:00 | INFO     | vector_store |   Upserted batch 18500–18999 / 19997
21:07:01 | INFO     | vector_store |   Upserted batch 19000–19499 / 19997
21:07:02 | INFO     | vector_store |   Upserted batch 19500–19996 / 19997
21:07:02 | INFO     | vector_store | Ingestion complete. Collection size: 19997
21:07:02 | INFO     | __main__ |   Done in 39.7s.
21:07:02 | INFO     | __main__ | ============================================================
21:07:02 | INFO     | __main__ | Component 1 Complete. Total time: 1348.5s
21:07:02 | INFO     | __main__ | ============================================================
